x_m,y_m,depth_m,seabed_z_m
-822.7326158288593,-802.5548608004462,19.752,-19.752
-672.7722386798921,-800.3284608005305,12.735,-12.735
-523.7044828250263,-798.1020607998238,9.191,-9.191
226.09740291727226,-788.0832607998076,2.258,-2.258
375.1651587721381,-785.8568607998918,2.784,-2.784
525.1255359211052,-783.6304607999762,0.658,-0.658
675.0859130688038,-781.4040608000605,-2.127,2.127
825.046290217771,-779.1776608001447,1.617,-1.617
-825.410479706089,-652.2728608002033,19.724,-19.724
-675.4501025583904,-650.0464608002875,18.787,-18.787
-525.4897254094233,-647.8200608003717,10.735,-10.735
73.45916189107541,-640.0276608002713,2.51,-2.51
223.41953903877402,-637.8012608003555,3.725,-3.725
373.3799161877411,-635.5748608004399,3.838,-3.838
523.3402933354397,-633.3484608005242,3.599,-3.599
673.3006704844069,-631.1220607998175,2.57,-2.57
823.2610476321055,-628.8956607999017,2.137,-2.137
-827.1957222917545,-501.9908607999602,18.988,-18.988
-677.2353451427874,-499.7644608000445,17.036,-17.036
-527.2749679950888,-497.5380608001288,14.219,-14.219
-378.2072121389544,-495.3116608002131,11.123,-11.123
-228.2468349912558,-493.08526080029736,7.786,-7.786
-78.2864578422887,-490.85886080038165,5.149,-5.149
71.67391930540992,-488.63246080046594,4.817,-4.817
221.63429645437702,-486.4060608005502,4.835,-4.835
371.59467360207566,-485.2928608001969,5.033,-5.033
521.5550507510427,-483.06646080028116,4.786,-4.786
670.6228066059086,-480.84006080036545,3.895,-3.895
820.5831837548757,-478.61366080044974,2.835,-2.835
-829.8735861689843,-351.7088608005082,17.488,-17.488
-679.9132090212856,-349.4824607998015,16.167,-16.167
-529.9528318723185,-347.2560607998858,14.462,-14.462
-379.9924547246199,-345.0296607999701,13.688,-13.688
-230.0320775756528,-342.8032608000544,10.121,-10.121
-80.07170042795418,-340.57686080013866,9.031,-9.031
69.88867672101293,-338.35046080022295,7.04,-7.04
218.9564325771473,-336.12406080030723,5.988,-5.988
368.9168097248459,-333.8976608003915,5.643,-5.643
518.8771868725445,-331.6712608004758,5.258,-5.258
668.8375640215116,-330.55806080012246,4.884,-4.884
818.7979411692103,-328.33166080020675,3.82,-3.82
-831.6588287546497,-201.42686080026522,15.352,-15.352
-681.6984516056826,-199.2004608003495,15.131,-15.131
-531.738074457984,-196.9740608004338,13.508,-13.508
-381.7776973090169,-194.74766080051808,12.095,-12.095
-231.8173201613183,-192.5212607998114,11.145,-11.145
-82.74956430518392,-190.29486079989567,9.338,-9.338
67.21081284251468,-188.06846079997996,8.731,-8.731
217.17118999148178,-185.84206080006425,8.142,-8.142
367.1315671391804,-183.61566080014853,6.698,-6.698
517.0919442881475,-181.38926080023282,5.819,-5.819
667.0523214358461,-179.1628608003171,5.372,-5.372
817.0126985848133,-176.9364608004014,4.46,-4.46
-833.4440713390467,-50.03166080045986,13.356,-13.356
-683.4836941913481,-47.80526080054415,13.547,-13.547
-534.4159383352138,-46.6920608001908,13.044,-13.044
-384.4555611875151,-44.46566080027509,11.52,-11.52
-234.49518403854805,-42.239260800359375,10.436,-10.436
-84.53480689084942,-40.01286080044366,9.575,-9.575
