ix,iy,x_m,y_m,depth_m,seabed_z_m
0,0,-838.7106681216333,-808.8565064513898,18.16982501797292,-18.16982501797292
1,0,-829.4373315208849,-808.8565064513898,18.01954736351444,-18.01954736351444
2,0,-820.1639949201365,-808.8565064513898,17.869269709055967,-17.869269709055967
3,0,-810.890658319388,-808.8565064513898,17.71899205459749,-17.71899205459749
4,0,-801.6173217186396,-808.8565064513898,17.479128558263195,-17.479128558263195
5,0,-792.3439851178912,-808.8565064513898,17.234465820399837,-17.234465820399837
6,0,-783.0706485171428,-808.8565064513898,16.98980308253648,-16.98980308253648
7,0,-773.7973119163944,-808.8565064513898,16.68608742814931,-16.68608742814931
8,0,-764.5239753156459,-808.8565064513898,16.375686537929255,-16.375686537929255
9,0,-755.2506387148975,-808.8565064513898,16.065285647709203,-16.065285647709203
10,0,-745.9773021141491,-808.8565064513898,15.74601071763188,-15.74601071763188
11,0,-736.7039655134007,-808.8565064513898,15.425138460380246,-15.425138460380246
12,0,-727.4306289126523,-808.8565064513898,15.104266203128613,-15.104266203128613
13,0,-718.1572923119038,-808.8565064513898,14.813231144614583,-14.813231144614583
14,0,-708.8839557111554,-808.8565064513898,14.529814094288884,-14.529814094288884
15,0,-699.610619110407,-808.8565064513898,14.246397043963183,-14.246397043963183
16,0,-690.3372825096586,-808.8565064513898,14.001513171283232,-14.001513171283232
17,0,-681.0639459089102,-808.8565064513898,13.769765609164331,-13.769765609164331
18,0,-671.7906093081617,-808.8565064513898,13.538018047045426,-13.538018047045426
19,0,-662.5172727074133,-808.8565064513898,13.328602648479182,-13.328602648479182
20,0,-653.2439361066649,-808.8565064513898,13.128991614399467,-13.128991614399467
21,0,-643.9705995059165,-808.8565064513898,12.929380580319753,-12.929380580319753
22,0,-634.6972629051681,-808.8565064513898,12.73157398759951,-12.73157398759951
23,0,-625.4239263044196,-808.8565064513898,12.534764586156868,-12.534764586156868
24,0,-616.1505897036712,-808.8565064513898,12.33795518471423,-12.33795518471423
25,0,-606.8772531029229,-808.8565064513898,12.136654253976218,-12.136654253976218
26,0,-597.6039165021745,-808.8565064513898,11.932273417435663,-11.932273417435663
27,0,-588.3305799014261,-808.8565064513898,11.72789258089511,-11.72789258089511
28,0,-579.0572433006776,-808.8565064513898,11.530205318317517,-11.530205318317517
29,0,-569.7839066999292,-808.8565064513898,11.338165758771172,-11.338165758771172
30,0,-560.5105700991808,-808.8565064513898,11.14612619922483,-11.14612619922483
31,0,-551.2372334984324,-808.8565064513898,10.977331228157553,-10.977331228157553
32,0,-541.963896897684,-808.8565064513898,10.832582383103107,-10.832582383103107
33,0,-532.6905602969355,-808.8565064513898,10.687833538048658,-10.687833538048658
34,0,-523.4172236961872,-808.8565064513898,10.57330719193408,-10.57330719193408
35,0,-514.1438870954387,-808.8565064513898,10.497140171397028,-10.497140171397028
36,0,-504.8705504946903,-808.8565064513898,10.420973150859977,-10.420973150859977
37,0,-495.59721389394184,-808.8565064513898,10.367956672170946,-10.367956672170946
38,0,-486.32387729319345,-808.8565064513898,10.351175824200553,-10.351175824200553
39,0,-477.050540692445,-808.8565064513898,10.334394976230161,-10.334394976230161
40,0,-467.77720409169666,-808.8565064513898,10.327043115344336,-10.327043115344336
41,0,-458.50386749094815,-808.8565064513898,10.33807777927342,-10.33807777927342
42,0,-449.23053089019976,-808.8565064513898,10.349112443202502,-10.349112443202502
43,0,-439.9571942894513,-808.8565064513898,10.358886042220892,-10.358886042220892
44,0,-430.6838576887029,-808.8565064513898,10.365544069106983,-10.365544069106983
45,0,-421.4105210879545,-808.8565064513898,10.372202095993073,-10.372202095993073
46,0,-412.13718448720607,-808.8565064513898,10.373611882003258,-10.373611882003258
47,0,-402.8638478864577,-808.8565064513898,10.358152322340892,-10.358152322340892
48,0,-393.5905112857093,-808.8565064513898,10.342692762678526,-10.342692762678526
49,0,-384.31717468496083,-808.8565064513898,10.322609239932808,-10.322609239932808
50,0,-375.04383808421244,-808.8565064513898,10.282348423732458,-10.282348423732458
51,0,-365.77050148346405,-808.8565064513898,10.242087607532108,-10.242087607532108
52,0,-356.49716488271565,-808.8565064513898,10.199160544000156,-10.199160544000156
53,0,-347.2238282819672,-808.8565064513898,10.13923615372925,-10.13923615372925
54,0,-337.9504916812188,-808.8565064513898,10.079311763458344,-10.079311763458344
55,0,-328.6771550804704,-808.8565064513898,10.01826795018179,-10.01826795018179
56,0,-319.40381847972185,-808.8565064513898,9.945134368444245,-9.945134368444245
57,0,-310.13048187897346,-808.8565064513898,9.8720007867067,-9.8720007867067
58,0,-300.85714527822506,-808.8565064513898,9.798586276340412,-9.798586276340412
59,0,-291.58380867747667,-808.8565064513898,9.717165300054997,-9.717165300054997
60,0,-282.3104720767283,-808.8565064513898,9.635744323769579,-9.635744323769579
61,0,-273.0371354759799,-808.8565064513898,9.554323347484162,-9.554323347484162
62,0,-263.7637988752315,-808.8565064513898,9.467737771986314,-9.467737771986314
63,0,-254.49046227448298,-808.8565064513898,9.381063151674457,-9.381063151674457
64,0,-245.21712567373459,-808.8565064513898,9.294388531362602,-9.294388531362602
65,0,-235.9437890729862,-808.8565064513898,9.204328833753566,-9.204328833753566
66,0,-226.6704524722378,-808.8565064513898,9.114022948704735,-9.114022948704735
67,0,-217.3971158714894,-808.8565064513898,9.023717063655905,-9.023717063655905
68,0,-208.123779270741,-808.8565064513898,8.930838571722386,-8.930838571722386
69,0,-198.8504426699925,-808.8565064513898,8.837613767323624,-8.837613767323624
70,0,-189.5771060692441,-808.8565064513898,8.744388962924859,-8.744388962924859
71,0,-180.30376946849572,-808.8565064513898,8.648867675093104,-8.648867675093104
72,0,-171.03043286774732,-808.8565064513898,8.552877717172985,-8.552877717172985
73,0,-161.75709626699881,-808.8565064513898,8.456887759252863,-8.456887759252863
74,0,-152.48375966625042,-808.8565064513898,8.358617829271893,-8.358617829271893
75,0,-143.21042306550203,-808.8565064513898,8.259703559360684,-8.259703559360684
76,0,-133.93708646475363,-808.8565064513898,8.160789289449475,-8.160789289449475
77,0,-124.66374986400513,-808.8565064513898,8.059555874532801,-8.059555874532801
