ix,iy,x_m,y_m,depth_m
0,0,-250.0,-100.0,4.5
1,0,-245.0,-100.0,4.55
2,0,-240.0,-100.0,4.6
3,0,-235.0,-100.0,4.65
4,0,-230.0,-100.0,4.7
5,0,-225.0,-100.0,4.75
6,0,-220.0,-100.0,4.8
7,0,-215.0,-100.0,4.85
8,0,-210.0,-100.0,4.9
9,0,-205.0,-100.0,4.95
10,0,-200.0,-100.0,5.0
11,0,-195.0,-100.0,5.05
12,0,-190.0,-100.0,5.1
13,0,-185.0,-100.0,5.15
14,0,-180.0,-100.0,5.2
15,0,-175.0,-100.0,5.25
16,0,-170.0,-100.0,5.3
17,0,-165.0,-100.0,5.35
18,0,-160.0,-100.0,5.4
19,0,-155.0,-100.0,5.45
20,0,-150.0,-100.0,5.5
21,0,-145.0,-100.0,5.55
22,0,-140.0,-100.0,5.6
23,0,-135.0,-100.0,5.65
24,0,-130.0,-100.0,5.7
25,0,-125.0,-100.0,5.75
26,0,-120.0,-100.0,5.8
27,0,-115.0,-100.0,5.85
28,0,-110.0,-100.0,5.9
29,0,-105.0,-100.0,5.95
30,0,-100.0,-100.0,6.0
31,0,-95.0,-100.0,6.05
32,0,-90.0,-100.0,6.1
33,0,-85.0,-100.0,6.15
34,0,-80.0,-100.0,6.2
35,0,-75.0,-100.0,6.25
36,0,-70.0,-100.0,6.3
37,0,-65.0,-100.0,6.35
38,0,-60.0,-100.0,6.4
39,0,-55.0,-100.0,6.45
40,0,-50.0,-100.0,6.5
41,0,-45.0,-100.0,6.55
42,0,-40.0,-100.0,6.6
43,0,-35.0,-100.0,6.65
44,0,-30.0,-100.0,6.7
45,0,-25.0,-100.0,6.75
46,0,-20.0,-100.0,6.8
47,0,-15.0,-100.0,6.85
48,0,-10.0,-100.0,6.9
49,0,-5.0,-100.0,6.95
50,0,0.0,-100.0,7.0
51,0,5.0,-100.0,7.05
52,0,10.0,-100.0,7.1
53,0,15.0,-100.0,7.15
54,0,20.0,-100.0,7.2
55,0,25.0,-100.0,7.25
56,0,30.0,-100.0,7.3
57,0,35.0,-100.0,7.35
58,0,40.0,-100.0,7.4
59,0,45.0,-100.0,7.45
60,0,50.0,-100.0,7.5
61,0,55.0,-100.0,7.55
62,0,60.0,-100.0,7.6
63,0,65.0,-100.0,7.65
64,0,70.0,-100.0,7.7
65,0,75.0,-100.0,7.75
66,0,80.0,-100.0,7.8
67,0,85.0,-100.0,7.85
68,0,90.0,-100.0,7.9
69,0,95.0,-100.0,7.95
70,0,100.0,-100.0,8.0
71,0,105.0,-100.0,8.05
72,0,110.0,-100.0,8.1
73,0,115.0,-100.0,8.15
74,0,120.0,-100.0,8.2
75,0,125.0,-100.0,8.25
76,0,130.0,-100.0,8.3
77,0,135.0,-100.0,8.35
78,0,140.0,-100.0,8.4
79,0,145.0,-100.0,8.45
80,0,150.0,-100.0,8.5
81,0,155.0,-100.0,8.55
82,0,160.0,-100.0,8.6
83,0,165.0,-100.0,8.65
84,0,170.0,-100.0,8.7
85,0,175.0,-100.0,8.75
86,0,180.0,-100.0,8.8
87,0,185.0,-100.0,8.85
88,0,190.0,-100.0,8.9
89,0,195.0,-100.0,8.95
90,0,200.0,-100.0,9.0
91,0,205.0,-100.0,9.05
92,0,210.0,-100.0,9.1
93,0,215.0,-100.0,9.15
94,0,220.0,-100.0,9.2
95,0,225.0,-100.0,9.25
96,0,230.0,-100.0,9.3
97,0,235.0,-100.0,9.35
98,0,240.0,-100.0,9.4
99,0,245.0,-100.0,9.45
100,0,250.0,-100.0,9.5
0,1,-250.0,-95.0,4.5
1,1,-245.0,-95.0,4.55
2,1,-240.0,-95.0,4.6
3,1,-235.0,-95.0,4.65
4,1,-230.0,-95.0,4.7
5,1,-225.0,-95.0,4.75
6,1,-220.0,-95.0,4.8
7,1,-215.0,-95.0,4.85
8,1,-210.0,-95.0,4.9
9,1,-205.0,-95.0,4.95
10,1,-200.0,-95.0,5.0
11,1,-195.0,-95.0,5.05
12,1,-190.0,-95.0,5.1
13,1,-185.0,-95.0,5.15
14,1,-180.0,-95.0,5.2
15,1,-175.0,-95.0,5.25
16,1,-170.0,-95.0,5.3
17,1,-165.0,-95.0,5.35
18,1,-160.0,-95.0,5.4
19,1,-155.0,-95.0,5.45
20,1,-150.0,-95.0,5.5
21,1,-145.0,-95.0,5.55
22,1,-140.0,-95.0,5.6
23,1,-135.0,-95.0,5.65
24,1,-130.0,-95.0,5.7
25,1,-125.0,-95.0,5.75
26,1,-120.0,-95.0,5.8
27,1,-115.0,-95.0,5.85
28,1,-110.0,-95.0,5.9
29,1,-105.0,-95.0,5.95
30,1,-100.0,-95.0,6.0
31,1,-95.0,-95.0,6.05
32,1,-90.0,-95.0,6.1
33,1,-85.0,-95.0,6.15
34,1,-80.0,-95.0,6.2
35,1,-75.0,-95.0,6.25
36,1,-70.0,-95.0,6.3
37,1,-65.0,-95.0,6.35
38,1,-60.0,-95.0,6.4
39,1,-55.0,-95.0,6.45
40,1,-50.0,-95.0,6.5
41,1,-45.0,-95.0,6.55
42,1,-40.0,-95.0,6.6
43,1,-35.0,-95.0,6.65
44,1,-30.0,-95.0,6.7
45,1,-25.0,-95.0,6.75
46,1,-20.0,-95.0,6.8
47,1,-15.0,-95.0,6.85
48,1,-10.0,-95.0,6.9
49,1,-5.0,-95.0,6.95
50,1,0.0,-95.0,7.0
51,1,5.0,-95.0,7.05
52,1,10.0,-95.0,7.1
53,1,15.0,-95.0,7.15
54,1,20.0,-95.0,7.2
55,1,25.0,-95.0,7.25
56,1,30.0,-95.0,7.3
57,1,35.0,-95.0,7.35
58,1,40.0,-95.0,7.4
59,1,45.0,-95.0,7.45
60,1,50.0,-95.0,7.5
61,1,55.0,-95.0,7.55
62,1,60.0,-95.0,7.6
63,1,65.0,-95.0,7.65
64,1,70.0,-95.0,7.7
65,1,75.0,-95.0,7.75
66,1,80.0,-95.0,7.8
67,1,85.0,-95.0,7.85
68,1,90.0,-95.0,7.9
69,1,95.0,-95.0,7.95
70,1,100.0,-95.0,8.0
71,1,105.0,-95.0,8.05
72,1,110.0,-95.0,8.1
73,1,115.0,-95.0,8.15
74,1,120.0,-95.0,8.2
75,1,125.0,-95.0,8.25
76,1,130.0,-95.0,8.3
77,1,135.0,-95.0,8.35
78,1,140.0,-95.0,8.4
79,1,145.0,-95.0,8.45
80,1,150.0,-95.0,8.5
81,1,155.0,-95.0,8.55
82,1,160.0,-95.0,8.6
83,1,165.0,-95.0,8.65
84,1,170.0,-95.0,8.7
85,1,175.0,-95.0,8.75
86,1,180.0,-95.0,8.8
87,1,185.0,-95.0,8.85
88,1,190.0,-95.0,8.9
89,1,195.0,-95.0,8.95
90,1,200.0,-95.0,9.0
91,1,205.0,-95.0,9.05
92,1,210.0,-95.0,9.1
93,1,215.0,-95.0,9.15
94,1,220.0,-95.0,9.2
95,1,225.0,-95.0,9.25
96,1,230.0,-95.0,9.3
97,1,235.0,-95.0,9.35
98,1,240.0,-95.0,9.4
99,1,245.0,-95.0,9.45
100,1,250.0,-95.0,9.5
0,2,-250.0,-90.0,4.5
1,2,-245.0,-90.0,4.55
2,2,-240.0,-90.0,4.6
3,2,-235.0,-90.0,4.65
4,2,-230.0,-90.0,4.7
5,2,-225.0,-90.0,4.75
6,2,-220.0,-90.0,4.8
7,2,-215.0,-90.0,4.85
8,2,-210.0,-90.0,4.9
9,2,-205.0,-90.0,4.95
10,2,-200.0,-90.0,5.0
11,2,-195.0,-90.0,5.05
12,2,-190.0,-90.0,5.1
13,2,-185.0,-90.0,5.15
14,2,-180.0,-90.0,5.2
15,2,-175.0,-90.0,5.25
16,2,-170.0,-90.0,5.3
17,2,-165.0,-90.0,5.35
18,2,-160.0,-90.0,5.4
19,2,-155.0,-90.0,5.45
20,2,-150.0,-90.0,5.5
21,2,-145.0,-90.0,5.55
22,2,-140.0,-90.0,5.6
23,2,-135.0,-90.0,5.65
24,2,-130.0,-90.0,5.7
25,2,-125.0,-90.0,5.75
26,2,-120.0,-90.0,5.8
27,2,-115.0,-90.0,5.85
28,2,-110.0,-90.0,5.9
29,2,-105.0,-90.0,5.95
30,2,-100.0,-90.0,6.0
31,2,-95.0,-90.0,6.05
32,2,-90.0,-90.0,6.1
33,2,-85.0,-90.0,6.15
34,2,-80.0,-90.0,6.2
35,2,-75.0,-90.0,6.25
36,2,-70.0,-90.0,6.3
37,2,-65.0,-90.0,6.35
38,2,-60.0,-90.0,6.4
39,2,-55.0,-90.0,6.45
40,2,-50.0,-90.0,6.5
41,2,-45.0,-90.0,6.55
42,2,-40.0,-90.0,6.6
43,2,-35.0,-90.0,6.65
44,2,-30.0,-90.0,6.7
45,2,-25.0,-90.0,6.75
46,2,-20.0,-90.0,6.8
47,2,-15.0,-90.0,6.85
48,2,-10.0,-90.0,6.9
49,2,-5.0,-90.0,6.95
50,2,0.0,-90.0,7.0
51,2,5.0,-90.0,7.05
52,2,10.0,-90.0,7.1
53,2,15.0,-90.0,7.15
54,2,20.0,-90.0,7.2
55,2,25.0,-90.0,7.25
56,2,30.0,-90.0,7.3
57,2,35.0,-90.0,7.35
58,2,40.0,-90.0,7.4
59,2,45.0,-90.0,7.45
60,2,50.0,-90.0,7.5
61,2,55.0,-90.0,7.55
62,2,60.0,-90.0,7.6
63,2,65.0,-90.0,7.65
64,2,70.0,-90.0,7.7
65,2,75.0,-90.0,7.75
66,2,80.0,-90.0,7.8
67,2,85.0,-90.0,7.85
68,2,90.0,-90.0,7.9
69,2,95.0,-90.0,7.95
70,2,100.0,-90.0,8.0
71,2,105.0,-90.0,8.05
72,2,110.0,-90.0,8.1
73,2,115.0,-90.0,8.15
74,2,120.0,-90.0,8.2
75,2,125.0,-90.0,8.25
76,2,130.0,-90.0,8.3
77,2,135.0,-90.0,8.35
78,2,140.0,-90.0,8.4
79,2,145.0,-90.0,8.45
80,2,150.0,-90.0,8.5
81,2,155.0,-90.0,8.55
82,2,160.0,-90.0,8.6
83,2,165.0,-90.0,8.65
84,2,170.0,-90.0,8.7
85,2,175.0,-90.0,8.75
86,2,180.0,-90.0,8.8
87,2,185.0,-90.0,8.85
88,2,190.0,-90.0,8.9
89,2,195.0,-90.0,8.95
90,2,200.0,-90.0,9.0
91,2,205.0,-90.0,9.05
92,2,210.0,-90.0,9.1
93,2,215.0,-90.0,9.15
94,2,220.0,-90.0,9.2
95,2,225.0,-90.0,9.25
96,2,230.0,-90.0,9.3
97,2,235.0,-90.0,9.35
98,2,240.0,-90.0,9.4
99,2,245.0,-90.0,9.45
100,2,250.0,-90.0,9.5
0,3,-250.0,-85.0,4.5
1,3,-245.0,-85.0,4.55
2,3,-240.0,-85.0,4.6
3,3,-235.0,-85.0,4.65
4,3,-230.0,-85.0,4.7
5,3,-225.0,-85.0,4.75
6,3,-220.0,-85.0,4.8
7,3,-215.0,-85.0,4.85
8,3,-210.0,-85.0,4.9
9,3,-205.0,-85.0,4.95
10,3,-200.0,-85.0,5.0
11,3,-195.0,-85.0,5.05
12,3,-190.0,-85.0,5.1
13,3,-185.0,-85.0,5.15
14,3,-180.0,-85.0,5.2
15,3,-175.0,-85.0,5.25
16,3,-170.0,-85.0,5.3
17,3,-165.0,-85.0,5.35
18,3,-160.0,-85.0,5.4
19,3,-155.0,-85.0,5.45
20,3,-150.0,-85.0,5.5
21,3,-145.0,-85.0,5.55
22,3,-140.0,-85.0,5.6
23,3,-135.0,-85.0,5.65
24,3,-130.0,-85.0,5.7
25,3,-125.0,-85.0,5.75
26,3,-120.0,-85.0,5.8
27,3,-115.0,-85.0,5.85
28,3,-110.0,-85.0,5.9
29,3,-105.0,-85.0,5.95
30,3,-100.0,-85.0,6.0
31,3,-95.0,-85.0,6.05
32,3,-90.0,-85.0,6.1
33,3,-85.0,-85.0,6.15
34,3,-80.0,-85.0,6.2
35,3,-75.0,-85.0,6.25
36,3,-70.0,-85.0,6.3
37,3,-65.0,-85.0,6.35
38,3,-60.0,-85.0,6.4
39,3,-55.0,-85.0,6.45
40,3,-50.0,-85.0,6.5
41,3,-45.0,-85.0,6.55
42,3,-40.0,-85.0,6.6
43,3,-35.0,-85.0,6.65
44,3,-30.0,-85.0,6.7
45,3,-25.0,-85.0,6.75
46,3,-20.0,-85.0,6.8
47,3,-15.0,-85.0,6.85
48,3,-10.0,-85.0,6.9
49,3,-5.0,-85.0,6.95
50,3,0.0,-85.0,7.0
51,3,5.0,-85.0,7.05
52,3,10.0,-85.0,7.1
53,3,15.0,-85.0,7.15
54,3,20.0,-85.0,7.2
55,3,25.0,-85.0,7.25
56,3,30.0,-85.0,7.3
57,3,35.0,-85.0,7.35
58,3,40.0,-85.0,7.4
59,3,45.0,-85.0,7.45
60,3,50.0,-85.0,7.5
61,3,55.0,-85.0,7.55
62,3,60.0,-85.0,7.6
63,3,65.0,-85.0,7.65
64,3,70.0,-85.0,7.7
65,3,75.0,-85.0,7.75
66,3,80.0,-85.0,7.8
67,3,85.0,-85.0,7.85
68,3,90.0,-85.0,7.9
69,3,95.0,-85.0,7.95
70,3,100.0,-85.0,8.0
71,3,105.0,-85.0,8.05
72,3,110.0,-85.0,8.1
73,3,115.0,-85.0,8.15
74,3,120.0,-85.0,8.2
75,3,125.0,-85.0,8.25
76,3,130.0,-85.0,8.3
77,3,135.0,-85.0,8.35
78,3,140.0,-85.0,8.4
79,3,145.0,-85.0,8.45
80,3,150.0,-85.0,8.5
81,3,155.0,-85.0,8.55
82,3,160.0,-85.0,8.6
83,3,165.0,-85.0,8.65
84,3,170.0,-85.0,8.7
85,3,175.0,-85.0,8.75
86,3,180.0,-85.0,8.8
87,3,185.0,-85.0,8.85
88,3,190.0,-85.0,8.9
89,3,195.0,-85.0,8.95
90,3,200.0,-85.0,9.0
91,3,205.0,-85.0,9.05
92,3,210.0,-85.0,9.1
93,3,215.0,-85.0,9.15
94,3,220.0,-85.0,9.2
95,3,225.0,-85.0,9.25
96,3,230.0,-85.0,9.3
97,3,235.0,-85.0,9.35
98,3,240.0,-85.0,9.4
99,3,245.0,-85.0,9.45
100,3,250.0,-85.0,9.5
0,4,-250.0,-80.0,4.5
1,4,-245.0,-80.0,4.55
2,4,-240.0,-80.0,4.6
3,4,-235.0,-80.0,4.65
4,4,-230.0,-80.0,4.7
5,4,-225.0,-80.0,4.75
6,4,-220.0,-80.0,4.8
7,4,-215.0,-80.0,4.85
8,4,-210.0,-80.0,4.9
9,4,-205.0,-80.0,4.95
10,4,-200.0,-80.0,5.0
11,4,-195.0,-80.0,5.05
12,4,-190.0,-80.0,5.1
13,4,-185.0,-80.0,5.15
14,4,-180.0,-80.0,5.2
15,4,-175.0,-80.0,5.25
16,4,-170.0,-80.0,5.3
17,4,-165.0,-80.0,5.35
18,4,-160.0,-80.0,5.4
19,4,-155.0,-80.0,5.45
20,4,-150.0,-80.0,5.5
21,4,-145.0,-80.0,5.55
22,4,-140.0,-80.0,5.6
23,4,-135.0,-80.0,5.65
24,4,-130.0,-80.0,5.7
25,4,-125.0,-80.0,5.75
26,4,-120.0,-80.0,5.8
27,4,-115.0,-80.0,5.85
28,4,-110.0,-80.0,5.9
29,4,-105.0,-80.0,5.95
30,4,-100.0,-80.0,6.0
31,4,-95.0,-80.0,6.05
32,4,-90.0,-80.0,6.1
33,4,-85.0,-80.0,6.15
34,4,-80.0,-80.0,6.2
35,4,-75.0,-80.0,6.25
36,4,-70.0,-80.0,6.3
37,4,-65.0,-80.0,6.35
38,4,-60.0,-80.0,6.4
39,4,-55.0,-80.0,6.45
40,4,-50.0,-80.0,6.5
41,4,-45.0,-80.0,6.55
42,4,-40.0,-80.0,6.6
43,4,-35.0,-80.0,6.65
44,4,-30.0,-80.0,6.7
45,4,-25.0,-80.0,6.75
46,4,-20.0,-80.0,6.8
47,4,-15.0,-80.0,6.85
48,4,-10.0,-80.0,6.9
49,4,-5.0,-80.0,6.95
50,4,0.0,-80.0,7.0
51,4,5.0,-80.0,7.05
52,4,10.0,-80.0,7.1
53,4,15.0,-80.0,7.15
54,4,20.0,-80.0,7.2
55,4,25.0,-80.0,7.25
56,4,30.0,-80.0,7.3
57,4,35.0,-80.0,7.35
58,4,40.0,-80.0,7.4
59,4,45.0,-80.0,7.45
60,4,50.0,-80.0,7.5
61,4,55.0,-80.0,7.55
62,4,60.0,-80.0,7.6
63,4,65.0,-80.0,7.65
64,4,70.0,-80.0,7.7
65,4,75.0,-80.0,7.75
66,4,80.0,-80.0,7.8
67,4,85.0,-80.0,7.85
68,4,90.0,-80.0,7.9
69,4,95.0,-80.0,7.95
70,4,100.0,-80.0,8.0
71,4,105.0,-80.0,8.05
72,4,110.0,-80.0,8.1
73,4,115.0,-80.0,8.15
74,4,120.0,-80.0,8.2
75,4,125.0,-80.0,8.25
76,4,130.0,-80.0,8.3
77,4,135.0,-80.0,8.35
78,4,140.0,-80.0,8.4
79,4,145.0,-80.0,8.45
80,4,150.0,-80.0,8.5
81,4,155.0,-80.0,8.55
82,4,160.0,-80.0,8.6
83,4,165.0,-80.0,8.65
84,4,170.0,-80.0,8.7
85,4,175.0,-80.0,8.75
86,4,180.0,-80.0,8.8
87,4,185.0,-80.0,8.85
88,4,190.0,-80.0,8.9
89,4,195.0,-80.0,8.95
90,4,200.0,-80.0,9.0
91,4,205.0,-80.0,9.05
92,4,210.0,-80.0,9.1
93,4,215.0,-80.0,9.15
94,4,220.0,-80.0,9.2
95,4,225.0,-80.0,9.25
96,4,230.0,-80.0,9.3
97,4,235.0,-80.0,9.35
98,4,240.0,-80.0,9.4
99,4,245.0,-80.0,9.45
100,4,250.0,-80.0,9.5
0,5,-250.0,-75.0,4.5
1,5,-245.0,-75.0,4.55
2,5,-240.0,-75.0,4.6
3,5,-235.0,-75.0,4.65
4,5,-230.0,-75.0,4.7
5,5,-225.0,-75.0,4.75
6,5,-220.0,-75.0,4.8
7,5,-215.0,-75.0,4.85
8,5,-210.0,-75.0,4.9
9,5,-205.0,-75.0,4.95
10,5,-200.0,-75.0,5.0
11,5,-195.0,-75.0,5.05
12,5,-190.0,-75.0,5.1
13,5,-185.0,-75.0,5.15
14,5,-180.0,-75.0,5.2
15,5,-175.0,-75.0,5.25
16,5,-170.0,-75.0,5.3
17,5,-165.0,-75.0,5.35
18,5,-160.0,-75.0,5.4
19,5,-155.0,-75.0,5.45
20,5,-150.0,-75.0,5.5
21,5,-145.0,-75.0,5.55
22,5,-140.0,-75.0,5.6
23,5,-135.0,-75.0,5.65
24,5,-130.0,-75.0,5.7
25,5,-125.0,-75.0,5.75
26,5,-120.0,-75.0,5.8
27,5,-115.0,-75.0,5.85
28,5,-110.0,-75.0,5.9
29,5,-105.0,-75.0,5.95
30,5,-100.0,-75.0,6.0
31,5,-95.0,-75.0,6.05
32,5,-90.0,-75.0,6.1
33,5,-85.0,-75.0,6.15
34,5,-80.0,-75.0,6.2
35,5,-75.0,-75.0,6.25
36,5,-70.0,-75.0,6.3
37,5,-65.0,-75.0,6.35
38,5,-60.0,-75.0,6.4
39,5,-55.0,-75.0,6.45
40,5,-50.0,-75.0,6.5
41,5,-45.0,-75.0,6.55
42,5,-40.0,-75.0,6.6
43,5,-35.0,-75.0,6.65
44,5,-30.0,-75.0,6.7
45,5,-25.0,-75.0,6.75
46,5,-20.0,-75.0,6.8
47,5,-15.0,-75.0,6.85
48,5,-10.0,-75.0,6.9
49,5,-5.0,-75.0,6.95
50,5,0.0,-75.0,7.0
51,5,5.0,-75.0,7.05
52,5,10.0,-75.0,7.1
53,5,15.0,-75.0,7.15
54,5,20.0,-75.0,7.2
55,5,25.0,-75.0,7.25
56,5,30.0,-75.0,7.3
57,5,35.0,-75.0,7.35
58,5,40.0,-75.0,7.4
59,5,45.0,-75.0,7.45
60,5,50.0,-75.0,7.5
61,5,55.0,-75.0,7.55
62,5,60.0,-75.0,7.6
63,5,65.0,-75.0,7.65
