ix,iy,x_m,y_m,depth_m
0,0,-69.550025,-80.666801,14.172858
1,0,-68.993624,-80.666801,14.171620
2,0,-68.437224,-80.666801,14.170382
3,0,-67.880824,-80.666801,14.169144
4,0,-67.324424,-80.666801,14.167906
5,0,-66.768024,-80.666801,14.166668
6,0,-66.211623,-80.666801,14.165430
7,0,-65.655223,-80.666801,14.164191
8,0,-65.098823,-80.666801,14.162953
9,0,-64.542423,-80.666801,14.161715
10,0,-63.986023,-80.666801,14.160477
11,0,-63.429622,-80.666801,14.159239
12,0,-62.873222,-80.666801,14.158001
13,0,-62.316822,-80.666801,14.156762
14,0,-61.760422,-80.666801,14.155524
15,0,-61.204022,-80.666801,14.154286
16,0,-60.647621,-80.666801,14.153048
17,0,-60.091221,-80.666801,14.151708
18,0,-59.534821,-80.666801,14.150163
19,0,-58.978421,-80.666801,14.148618
20,0,-58.422021,-80.666801,14.147073
21,0,-57.865620,-80.666801,14.145528
22,0,-57.309220,-80.666801,14.143983
23,0,-56.752820,-80.666801,14.142438
24,0,-56.196420,-80.666801,14.140893
25,0,-55.640020,-80.666801,14.139348
26,0,-55.083619,-80.666801,14.137803
27,0,-54.527219,-80.666801,14.136258
28,0,-53.970819,-80.666801,14.134713
29,0,-53.414419,-80.666801,14.133168
30,0,-52.858019,-80.666801,14.131623
31,0,-52.301618,-80.666801,14.130078
32,0,-51.745218,-80.666801,14.128533
33,0,-51.188818,-80.666801,14.126988
34,0,-50.632418,-80.666801,14.125243
35,0,-50.076018,-80.666801,14.123398
36,0,-49.519617,-80.666801,14.121552
37,0,-48.963217,-80.666801,14.119707
38,0,-48.406817,-80.666801,14.117862
39,0,-47.850417,-80.666801,14.116017
40,0,-47.294017,-80.666801,14.114172
41,0,-46.737616,-80.666801,14.112327
42,0,-46.181216,-80.666801,14.110482
43,0,-45.624816,-80.666801,14.108637
44,0,-45.068416,-80.666801,14.106792
45,0,-44.512016,-80.666801,14.104947
46,0,-43.955615,-80.666801,14.103102
47,0,-43.399215,-80.666801,14.101257
48,0,-42.842815,-80.666801,14.099412
49,0,-42.286415,-80.666801,14.097566
50,0,-41.730015,-80.666801,14.095721
51,0,-41.173615,-80.666801,14.093603
52,0,-40.617214,-80.666801,14.091486
53,0,-40.060814,-80.666801,14.089368
54,0,-39.504414,-80.666801,14.087250
55,0,-38.948014,-80.666801,14.085132
56,0,-38.391614,-80.666801,14.083014
57,0,-37.835213,-80.666801,14.080896
58,0,-37.278813,-80.666801,14.078778
59,0,-36.722413,-80.666801,14.076660
60,0,-36.166013,-80.666801,14.074542
61,0,-35.609613,-80.666801,14.072424
62,0,-35.053212,-80.666801,14.070306
63,0,-34.496812,-80.666801,14.068189
64,0,-33.940412,-80.666801,14.066071
65,0,-33.384012,-80.666801,14.063953
66,0,-32.827612,-80.666801,14.061835
67,0,-32.271211,-80.666801,14.059641
68,0,-31.714811,-80.666801,14.057296
69,0,-31.158411,-80.666801,14.054950
70,0,-30.602011,-80.666801,14.052605
71,0,-30.045611,-80.666801,14.050260
72,0,-29.489210,-80.666801,14.047914
73,0,-28.932810,-80.666801,14.045569
74,0,-28.376410,-80.666801,14.043223
75,0,-27.820010,-80.666801,14.040878
76,0,-27.263610,-80.666801,14.038533
77,0,-26.707209,-80.666801,14.036187
78,0,-26.150809,-80.666801,14.033842
79,0,-25.594409,-80.666801,14.031496
80,0,-25.038009,-80.666801,14.029151
81,0,-24.481609,-80.666801,14.026806
82,0,-23.925208,-80.666801,14.024460
83,0,-23.368808,-80.666801,14.022115
84,0,-22.812408,-80.666801,14.019657
85,0,-22.256008,-80.666801,14.017142
86,0,-21.699608,-80.666801,14.014627
87,0,-21.143207,-80.666801,14.012112
88,0,-20.586807,-80.666801,14.009597
89,0,-20.030407,-80.666801,14.007082
90,0,-19.474007,-80.666801,14.004567
91,0,-18.917607,-80.666801,14.002052
92,0,-18.361206,-80.666801,13.999537
93,0,-17.804806,-80.666801,13.997022
