Material, Density kg/m^3, Speed of Sound m/s
M_Landscape, 3200, 4500
M_URockA, 3000, 5000
M_URockB, 3000, 5000
M_URockC, 3000, 5000
M_URockD, 3000, 5000
M_URockE, 3000, 5000
M_Sub, 8000, 3150
M_ship-9, 8000, 3150
M_Steel_1, 8000, 3150
M_Steel_2, 8000, 3150
M_SpongeOrange, 2000, 2500
M_Coralline, 2000, 2500
M_Pier_Concrete_01, 2400, 3700
MI_Concrete_2, 2400, 3700
MI_Concrete_3, 2400, 3700
M_Ground_Gravel, 6000, 1920
M_Pier_Fence_01, 1000, 5000
M_Pier_Wood_01, 1000, 5000
BasicShapeMaterial, 1298, 1564
WorldGridMaterial, 1298, 1564
color_d6775eff, 1298, 1564
M_PreviewOceanWater, 1019, 1516
M_PreviewOceanWaters, 1019, 1516
M_Brown_Sand, 1298, 1564
M_CobbleStone_Rough, 2600, 3800
T_SandDunes_N_fromOceanFloor, 1298, 1564
ShipwreckProjectSeabed, 1298, 1564
ShipwreckProjectWreck, 1100, 1983
ShipwreckProjectClutter, 3000, 5000
ShipwreckProjectAnchorStone, 2560, 3700
ShipwreckProjectReefRock, 2560, 3700
