name,class,x_m,y_m,yaw_deg,khoa_depth_m,terrain_z_m,expected_bottom_z_m,expected_clearance_m,placement_policy
intact_A,wreck,-58.0,-22.0,22.0,9.19423985,-9.19423985,-9.17923985,0.015,UE bounds bottom snapped to terrain z + clearance
buried_A,wreck,-47.0,9.0,-18.0,9.02873219,-9.02873219,-9.013732189999999,0.015,UE bounds bottom snapped to terrain z + clearance
fragmented_A,wreck,-32.0,31.0,41.0,8.959746285,-8.959746285,-8.944746284999999,0.015,UE bounds bottom snapped to terrain z + clearance
lowrelief_A,wreck,-10.0,-20.0,12.0,8.92452437,-8.92452437,-8.90952437,0.015,UE bounds bottom snapped to terrain z + clearance
ribfield_A,wreck,7.0,17.0,-28.0,8.684200972500001,-8.684200972500001,-8.6692009725,0.015,UE bounds bottom snapped to terrain z + clearance
debrisfield_A,wreck,19.0,-31.0,36.0,8.7224081475,-8.7224081475,-8.707408147499999,0.015,UE bounds bottom snapped to terrain z + clearance
fragmented_B,wreck,-6.0,36.0,-52.0,8.84073617,-8.84073617,-8.825736169999999,0.015,UE bounds bottom snapped to terrain z + clearance
buried_B,wreck,24.0,4.0,63.0,8.53951455,-8.53951455,-8.52451455,0.015,UE bounds bottom snapped to terrain z + clearance
gear_rope_01,gear_rope,-63.0,4.0,28.0,9.163927205,-9.163927205,-9.157927205,0.006,UE bounds bottom snapped to terrain z + clearance
gear_rope_02,gear_rope,-52.0,-36.0,-8.0,9.17041132,-9.17041132,-9.16441132,0.006,UE bounds bottom snapped to terrain z + clearance
gear_rope_03,gear_rope,0.0,-24.0,16.0,8.851465,-8.851465,-8.845464999999999,0.006,UE bounds bottom snapped to terrain z + clearance
gear_rope_04,gear_rope,25.0,-18.0,-35.0,8.687772195,-8.687772195,-8.681772195,0.006,UE bounds bottom snapped to terrain z + clearance
rock_mound_01,rock_mound,-66.0,18.0,-30.0,9.18290213,-9.18290213,-9.17690213,0.006,UE bounds bottom snapped to terrain z + clearance
rock_mound_02,rock_mound,-60.0,-6.0,-13.0,9.15656723,-9.15656723,-9.15056723,0.006,UE bounds bottom snapped to terrain z + clearance
rock_mound_03,rock_mound,-44.0,-30.0,4.0,9.1109668,-9.1109668,-9.1049668,0.006,UE bounds bottom snapped to terrain z + clearance
rock_mound_04,rock_mound,-9.0,-18.0,21.0,8.88001996,-8.88001996,-8.87401996,0.006,UE bounds bottom snapped to terrain z + clearance
